type,id,lat,lon,tags_amenity,tags_cuisine,tags_name,tags_source,tags_addr:city,tags_addr:street,tags_internet_access,tags_opening_hours,tags_phone,tags_smoking,tags_wheelchair,tags_name:en,tags_operator,tags_addr:postcode,tags_addr:housenumber,tags_name:ne,nodes,tags_building,tags_atm,tags_sorey,tags_addr:housename,tags_email,tags_service:type,tags_contact:phone,tags_contact:email,tags_office,tags_social_facility,tags_nrb_class,tags_website,tags_roof:material,tags_roof:shape,tags_healthcare,tags_addr:hamlet,tags_operator:type,tags_fixme,tags_addr:municipality,tags_addr:province,tags_note,tags_building:levels,tags_CONS_TYPE,tags_building:use,tags_green_roof,tags_building_count,tags_isced:level,tags_personnel:count,tags_student:count,tags_oid,tags_barrier,tags_government,tags_school,tags_boundary,tags_operator:en,tags_operator:ne,tags_operator:wikidata,tags_landuse,tags_layer,tags_emergency,tags_wikidata,tags_building:part,tags_dispensing,tags_shop,tags_addr:house,tags_capacity,tags_access,tags_parking,tags_covered,tags_fee,tags_supervised,tags_surface,tags_description,tags_delivery,tags_drive_through
node,9557617019,27.6198733,85.5533722,bank,,Kumari Bank Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9557617217,27.6296728,85.5265934,bank,,Prime Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9557617317,27.6301562,85.524434,bank,,Nepal Bank Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9960910712,27.6313495,85.5192304,bank,,Agriculture Development Bank,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9960910713,27.6313545,85.5192357,bank,,Hamalyan bank,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9960910714,27.6309591,85.5205143,bank,,Sanima Bank banepa branch,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9960916652,27.631089,85.5207451,bank,,kumari bank ltd banepa,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9960917444,27.6295426,85.5249736,bank,,Nepal Commercial Creadit,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9960926208,27.6309434,85.5210362,bank,,NIC asia,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9960926869,27.6296602,85.525091,bank,,ncc bank,,,,,,,,,,,,,,,,,,,,,,,,food_bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9960933596,27.6312334,85.5191486,bank,,himalayan bank limited,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9960933599,27.6305805,85.522278,bank,,machhapuchhre bank,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9960940217,27.6309102,85.5207163,bank,,kumari bank banepa branch,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9960940218,27.6308531,85.5210167,bank,,nic bank banepa branch,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10029638432,27.6270693,85.5250606,bank,,Shree Thanapati Saving & Credit Co-Operative Ltd,,,Godam chowk,,,,,,,,,,,,,,,,,,,,,,co-operative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10230034994,27.6552354,85.5052898,bank,,Punyamati Nari Chetana Sipmulak Sahakari,,,Nala,,,,,,,,,,पुन्यमती नारी चेतना सिपमुलक सहकारी संस्था लिमिटेड,,,,,,,,,,,,co-operative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10230034995,27.657118,85.5177557,bank,,Panchashil Saving And Credit Co-Operative Ltd.,,,Sera,,,,,,,,,,,,,,,,,,,,,,co-operative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10230034996,27.6577112,85.5167328,bank,,Women Entrepreneur Consumer Co- Operative Society Ltd. (Weccsl),,,,,,"01-4104136, 9841311784",,,,,,,,,,,,,,,,,,,co-operative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10230034997,27.6577035,85.5166604,bank,,Nari Jagaran Saving And Credit Co-Operative Ltd.,,,Sera,,,011-411188,,,,,,,,,,,,,,,,,,,co-operative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
